Time,190-AT1001-AirTemp (°C),990-PC-1106A-H1,990-PC-1106B-H2,990-PC-1107-H1,990-PT-1154A (barg),990-PT-1154B (barg),990-PT-1154C (barg),990-PSHL-1150,990-LT-1181 (mm),990-LT-1182 (mm),990-LT-1183 (mm),990-PT-1159 (barg),190-ZSL-1103,190-ZSH-1103,190-ZSI-1103,190-ZT-1103 (%),990-PT-1179 (barg),190-ZSL-1104,190-ZSH-1104,190-ZSI-1104,190-ZT-1104 (%),
2020.04.01 05:15:25.053,,,,,,,,,,,,161.00311279297,,,,,,,,,,
2020.04.01 05:15:30.048,,,,,,,164.56681823731,,,,,,,,,,,,,,,
2020.04.01 05:16:01.051,,,,,,,,,,,,,,,,,171.17016601563,,,,,
2020.04.01 05:16:32.053,,,,,164.84382629395,,,,,,,,,,,,,,,,,
2020.04.01 05:16:57.055,,,,,,,,,,,,161.20526123047,,,,,,,,,,
2020.04.01 05:17:30.006,,,,,,,,,,,,,,,,,171.37229919434,,,,,
2020.04.01 05:18:16.057,,,,,,,,,,,,161.42987060547,,,,,,,,,,
2020.04.01 05:19:00.067,,,,,,,164.63420104981,,,,,,,,,,,,,,,
2020.04.01 05:19:02.063,,,,,,,,,,,,,,,,,171.55947875977,,,,,
2020.04.01 05:19:33.062,,,,,,164.82885742188,,,,,,,,,,,,,,,,
